# E[eV]   Abs(norm)
0.15042218 0.07914226
0.15198908 0.07829387
0.15355598 0.08399473
0.15512287 0.08450132
0.15668977 0.09373943
0.15825667 0.09467357
0.15982357 0.10651889
0.16139046 0.10901108
0.16295736 0.12236575
0.16452426 0.12617451
0.16609116 0.14604102
0.16765805 0.15816648
0.16922495 0.19261383
0.17079185 0.23444416
0.17235875 0.30021480
0.17392565 0.37053845
0.17549254 0.45988392
0.17705944 0.52420328
0.17862634 0.57077555
0.18019324 0.55763494
0.18176013 0.51198794
0.18332703 0.41505493
0.18489393 0.31716375
0.18646083 0.20458174
0.18802773 0.13188376
0.18959462 0.08533585
0.19116152 0.08120636
0.19272842 0.12070380
0.19429532 0.20942718
0.19586221 0.34388771
0.19742911 0.53101341
0.19899601 0.71725143
0.20056291 0.88654765
0.20212980 0.98511562
0.20369670 1.00000000
0.20526360 0.92322475
0.20683050 0.78301861
0.20839740 0.61090785
0.20996429 0.45236427
0.21153119 0.32737824
0.21309809 0.23429150
0.21466499 0.17553354
0.21623188 0.14546531
0.21779878 0.11886422
0.21936568 0.10648551
0.22093258 0.09308017
0.22249947 0.08348707
0.22406637 0.07525628
0.22563327 0.07177064
0.22720017 0.06482282
0.22876707 0.06446254
