# E[eV]   Abs(norm)
0.15042218 0.09683396
0.15198908 0.10871786
0.15355598 0.09808370
0.15512287 0.10727517
0.15668977 0.09655623
0.15825667 0.10853078
0.15982357 0.10130493
0.16139046 0.11959924
0.16295736 0.11360254
0.16452426 0.13599918
0.16609116 0.12715899
0.16765805 0.15109634
0.16922495 0.14816980
0.17079185 0.18486336
0.17235875 0.20385816
0.17392565 0.27199474
0.17549254 0.32157965
0.17705944 0.40256525
0.17862634 0.43537478
0.18019324 0.47117496
0.18176013 0.43321644
0.18332703 0.39585469
0.18489393 0.29679704
0.18646083 0.23301933
0.18802773 0.14304761
0.18959462 0.12029224
0.19116152 0.10159534
0.19272842 0.17393390
0.19429532 0.25605546
0.19586221 0.44144163
0.19742911 0.62160652
0.19899601 0.82300363
0.20056291 0.93995504
0.20212980 1.00000000
0.20369670 0.93883255
0.20526360 0.82037947
0.20683050 0.63451084
0.20839740 0.47971632
0.20996429 0.33491818
0.21153119 0.25686358
0.21309809 0.17750716
0.21466499 0.16114694
0.21623188 0.12542289
0.21779878 0.12132386
0.21936568 0.09712267
0.22093258 0.09986280
0.22249947 0.08495612
0.22406637 0.08906671
0.22563327 0.07884702
0.22720017 0.08680484
0.22876707 0.07487495
