# E[eV]   Abs(norm)
0.15169179 0.05412377
0.15399015 0.05399323
0.15628851 0.05575126
0.15858687 0.05513853
0.16088523 0.05686678
0.16318359 0.05698723
0.16548195 0.06143900
0.16778031 0.06479898
0.17007867 0.08485368
0.17237703 0.10985056
0.17467540 0.17653635
0.17697376 0.26559898
0.17927212 0.39189051
0.18157048 0.55706347
0.18386884 0.73050459
0.18616720 0.88075320
0.18846556 0.97840258
0.19076392 1.00000000
0.19306228 0.94340243
0.19536064 0.81296362
0.19765900 0.63997760
0.19995736 0.44950529
0.20225572 0.28801686
0.20455408 0.15723553
0.20685244 0.09308829
0.20915080 0.04066750
0.21144916 0.02187593
0.21374752 0.02115849
0.21604588 0.02277546
0.21834424 0.02066520
0.22064260 0.02432080
0.22294096 0.02059583
0.22523933 0.02519393
0.22753769 0.02071789
0.22983605 0.02581769
