# t(fs)   T(K)
0.00000000 298.37697510
0.30000000 298.44396892
0.60000000 298.50768922
0.90000000 298.56818129
1.20000000 298.62549041
1.50000000 298.67966189
1.80000000 298.73074101
2.10000000 298.77877306
2.40000000 298.82380335
2.70000000 298.86587716
3.00000000 298.90503978
3.30000000 298.94133650
3.60000000 298.97481263
3.90000000 299.00551345
4.20000000 299.03348425
4.50000000 299.05877033
4.80000000 299.08141698
5.10000000 299.10146949
5.40000000 299.11897315
5.70000000 299.13397327
6.00000000 299.14651512
6.30000000 299.15664400
6.60000000 299.16440521
6.90000000 299.16984404
7.20000000 299.17300578
7.50000000 299.17393572
7.80000000 299.17267915
8.10000000 299.16928138
8.40000000 299.16378768
8.70000000 299.15624336
9.00000000 299.14669370
9.30000000 299.13518400
9.60000000 299.12175955
9.90000000 299.10646564
10.20000000 299.08934757
10.50000000 299.07045063
10.80000000 299.04982011
11.10000000 299.02750130
11.40000000 299.00353950
11.70000000 298.97798000
12.00000000 298.95086808
12.30000000 298.92224906
12.60000000 298.89216820
12.90000000 298.86067082
13.20000000 298.82780220
13.50000000 298.79360763
13.80000000 298.75813241
14.10000000 298.72142183
14.40000000 298.68352118
14.70000000 298.64447576
15.00000000 298.60433085
15.30000000 298.56313175
15.60000000 298.52092375
15.90000000 298.47775215
16.20000000 298.43366223
16.50000000 298.38869930
16.80000000 298.34290863
17.10000000 298.29633554
17.40000000 298.24902530
17.70000000 298.20102320
18.00000000 298.15237456
18.30000000 298.10312464
18.60000000 298.05331876
18.90000000 298.00300219
19.20000000 297.95222024
19.50000000 297.90101820
19.80000000 297.84944135
20.10000000 297.79753499
20.40000000 297.74534441
20.70000000 297.69291491
21.00000000 297.64029178
21.30000000 297.58752031
21.60000000 297.53464580
21.90000000 297.48171353
22.20000000 297.42876880
22.50000000 297.28138112
22.80000000 297.17718637
23.10000000 297.09680723
23.40000000 297.04299727
23.70000000 297.01372855
24.00000000 297.00294667
24.30000000 297.00231550
24.60000000 297.00337898
24.90000000 296.99948091
25.20000000 296.98698551
25.50000000 296.96550500
25.80000000 296.93720242
26.10000000 296.90566046
26.40000000 296.87471511
26.70000000 296.84757287
27.00000000 296.82640109
27.30000000 296.81229754
27.60000000 296.80546643
27.90000000 296.80542854
28.20000000 296.81120856
28.50000000 296.82147632
28.80000000 296.83458056
29.10000000 296.84847989
29.40000000 296.86058978
29.70000000 296.86765667
30.00000000 296.86583779
30.30000000 296.85113725
30.60000000 296.82027816
30.90000000 296.77178114
31.20000000 296.70684244
31.50000000 296.62958824
31.80000000 296.54640880
32.10000000 296.46450773
32.40000000 296.39016217
32.70000000 296.32734752
33.00000000 296.27720182
33.30000000 296.23848241
33.60000000 296.20871007
33.90000000 296.18544968
34.20000000 296.16728588
34.50000000 296.15409616
34.80000000 296.14658676
35.10000000 296.14546041
35.40000000 296.15065809
35.70000000 296.16098538
36.00000000 296.17424169
36.30000000 296.18778262
36.60000000 296.19925644
36.90000000 296.20729394
37.20000000 296.21200696
37.50000000 296.21514617
37.80000000 296.21983231
38.10000000 296.22981182
38.40000000 296.24833477
38.70000000 296.27690143
39.00000000 296.31429281
39.30000000 296.35632950
39.60000000 296.39652498
39.90000000 296.42752297
40.20000000 296.44287782
40.50000000 296.43856549
40.80000000 296.41375370
41.10000000 296.37066675
41.40000000 296.31375752
41.70000000 296.24858591
42.00000000 296.18076942
42.30000000 296.11528073
42.60000000 296.05613261
42.90000000 296.00634887
43.20000000 295.96803230
43.50000000 295.94235043
43.80000000 295.92933978
44.10000000 295.92758190
44.40000000 295.93401615
44.70000000 295.94408633
45.00000000 295.95231755
45.30000000 295.95326652
45.60000000 295.94266099
45.90000000 295.91845779
46.20000000 295.88158643
46.50000000 295.83619382
46.80000000 295.78923830
47.10000000 295.74936824
47.40000000 295.72516879
47.70000000 295.72313835
48.00000000 295.74592476
48.30000000 295.79139631
48.60000000 295.85292337
48.90000000 295.92080493
49.20000000 295.98439474
49.50000000 296.03425653
49.80000000 296.06371258
50.10000000 296.06955985
50.40000000 296.05203341
50.70000000 296.01421973
51.00000000 295.96128893
51.30000000 295.89971508
51.60000000 295.83645432
51.90000000 295.77816716
52.20000000 295.73053585
52.50000000 295.69765067
52.80000000 295.68149225
53.10000000 295.68159660
53.40000000 295.69497125
53.70000000 295.71632877
54.00000000 295.73869487
54.30000000 295.75440221
54.60000000 295.75642894
54.90000000 295.73988856
55.20000000 295.70333601
55.50000000 295.64955940
55.80000000 295.58561802
56.10000000 295.52190366
56.40000000 295.47026927
56.70000000 295.44164910
57.00000000 295.44367282
57.30000000 295.47894310
57.60000000 295.54456900
57.90000000 295.63300495
58.20000000 295.73383252
58.50000000 295.83591178
58.80000000 295.92932867
59.10000000 296.00680359
59.40000000 296.06442252
59.70000000 296.10172602
60.00000000 296.12137108
60.30000000 296.12847773
60.60000000 296.12970693
60.90000000 296.13222155
61.20000000 296.14265465
61.50000000 296.16617050
61.80000000 296.20574788
62.10000000 296.26177478
62.40000000 296.33200558
62.70000000 296.41183523
63.00000000 296.49488212
63.30000000 296.57392910
63.60000000 296.64208553
63.90000000 296.69397586
64.20000000 296.72679618
64.50000000 296.74101842
64.80000000 296.74054084
65.10000000 296.73224682
65.40000000 296.72497579
65.70000000 296.72802318
66.00000000 296.74947955
66.30000000 296.79474674
66.60000000 296.86558063
66.90000000 296.95994957
67.20000000 297.07266006
67.50000000 297.19656632
67.80000000 297.32401462
68.10000000 297.44812919
68.40000000 297.56372897
68.70000000 297.66778412
69.00000000 297.75945441
69.30000000 297.83985264
69.60000000 297.91164842
69.90000000 297.97858440
70.20000000 298.04497002
70.50000000 298.11513130
70.80000000 298.19285655
71.10000000 298.28084057
71.40000000 298.38014205
71.70000000 298.48982378
72.00000000 298.60688859
72.30000000 298.72662453
72.60000000 298.84333686
72.90000000 298.95127733
73.20000000 299.04552333
73.50000000 299.12261872
73.80000000 299.18095362
74.10000000 299.22088080
74.40000000 299.24466929
74.70000000 299.25629569
75.00000000 299.26095445
75.30000000 299.26428682
75.60000000 299.27142226
75.90000000 299.28601692
76.20000000 299.30956559
76.50000000 299.34126931
76.80000000 299.37847866
77.10000000 299.41753342
77.40000000 299.45470258
77.70000000 299.48689797
78.00000000 299.51204119
78.30000000 299.52908159
78.60000000 299.53782476
78.90000000 299.53874323
79.20000000 299.53285455
79.50000000 299.52176434
79.80000000 299.50773160
80.10000000 299.49354291
80.40000000 299.48210840
80.70000000 299.47580581
81.00000000 299.47581091
81.30000000 299.48171517
81.60000000 299.49158832
81.90000000 299.50241250
82.20000000 299.51059395
82.50000000 299.51237148
82.80000000 299.50412675
83.10000000 299.48262055
83.40000000 299.44533793
83.70000000 299.39099889
84.00000000 299.32008924
84.30000000 299.23509838
84.60000000 299.14019596
84.90000000 299.04039333
85.20000000 298.94044188
85.50000000 298.84389254
85.80000000 298.75266080
86.10000000 298.66708348
86.40000000 298.58628633
86.70000000 298.50858320
87.00000000 298.43172341
87.30000000 298.35305230
87.60000000 298.26965914
87.90000000 298.17865471
88.20000000 298.07769910
88.50000000 297.96564576
88.80000000 297.84314474
89.10000000 297.71298131
89.40000000 297.57986923
89.70000000 297.44973975
90.00000000 297.32874948
90.30000000 297.22219661
90.60000000 297.13363925
90.90000000 297.06434964
91.20000000 297.01313342
91.50000000 296.97651751
91.80000000 296.94921092
92.10000000 296.92480119
92.40000000 296.89671864
92.70000000 296.85935090
93.00000000 296.80910599
93.30000000 296.74513044
93.60000000 296.66940498
93.90000000 296.58614097
94.20000000 296.50065576
94.50000000 296.41815689
94.80000000 296.34285883
95.10000000 296.27759755
95.40000000 296.22379501
95.70000000 296.18157891
96.00000000 296.14984448
96.30000000 296.12621730
96.60000000 296.10709368
96.90000000 296.08787661
97.20000000 296.06350333
97.50000000 296.02930596
97.80000000 295.98201556
98.10000000 295.92065666
98.40000000 295.84710623
98.70000000 295.76613195
99.00000000 295.68489726
99.30000000 295.61197637
99.60000000 295.55597809
99.90000000 295.52398955
100.20000000 295.52013839
100.50000000 295.54468325
100.80000000 295.59389146
101.10000000 295.66076363
101.40000000 295.73646293
101.70000000 295.81205919
102.00000000 295.88023683
102.30000000 295.93661122
102.60000000 295.98027478
102.90000000 296.01354816
103.20000000 296.04107905
103.50000000 296.06859016
103.80000000 296.10168932
104.10000000 296.14496006
104.40000000 296.20145175
104.70000000 296.27254650
105.00000000 296.35803504
105.30000000 296.45625595
105.60000000 296.56418784
105.90000000 296.67758706
106.20000000 296.79127565
106.50000000 296.89960827
106.80000000 296.99720928
107.10000000 297.07993420
107.40000000 297.14581765
107.70000000 297.19579344
108.00000000 297.23399337
108.30000000 297.26734148
108.60000000 297.30439206
108.90000000 297.35367928
109.20000000 297.42192951
109.50000000 297.51260916
109.80000000 297.62521805
110.10000000 297.75549487
110.40000000 297.89650016
110.70000000 298.04028645
