# t(fs)   T(K)
0.00000000 300.18479654
0.30000000 300.43160867
0.60000000 300.67019515
0.90000000 300.90065361
1.20000000 301.12308166
1.50000000 301.33757691
1.80000000 301.54423699
2.10000000 301.74315951
2.40000000 301.93444209
2.70000000 302.11818234
3.00000000 302.29447789
3.30000000 302.46342635
3.60000000 302.62512534
3.90000000 302.77967248
4.20000000 302.92716538
4.50000000 303.06770166
4.80000000 303.20137893
5.10000000 303.32829483
5.40000000 303.44854695
5.70000000 303.56223293
6.00000000 303.66945038
6.30000000 303.77029691
6.60000000 303.86487014
6.90000000 303.95326770
7.20000000 304.03558719
7.50000000 304.11192624
7.80000000 304.18238246
8.10000000 304.24705347
8.40000000 304.30603688
8.70000000 304.35943033
9.00000000 304.40733141
9.30000000 304.44983775
9.60000000 304.48704697
9.90000000 304.51905669
10.20000000 304.54596451
10.50000000 304.56786807
10.80000000 304.58486497
11.10000000 304.59705284
11.40000000 304.60452929
11.70000000 304.60739193
12.00000000 304.60573840
12.30000000 304.59966629
12.60000000 304.58927324
12.90000000 304.57465686
13.20000000 304.55591476
13.50000000 304.53314456
13.80000000 304.50644389
14.10000000 304.47591035
14.40000000 304.44164157
14.70000000 304.40373517
15.00000000 304.36228875
15.30000000 304.31739994
15.60000000 304.26916636
15.90000000 304.21768561
16.20000000 304.16305533
16.50000000 304.10537313
16.80000000 304.04473662
17.10000000 303.98124342
17.40000000 303.91499116
17.70000000 303.84607744
18.00000000 303.77459988
18.30000000 303.70065611
18.60000000 303.62434373
18.90000000 303.54576037
19.20000000 303.46500365
19.50000000 303.38217118
19.80000000 303.29736058
20.10000000 303.21066946
20.40000000 303.12219545
20.70000000 303.03203615
21.00000000 302.94028920
21.30000000 302.84705220
21.60000000 302.75242278
21.90000000 302.65649855
22.20000000 302.55937712
22.50000000 302.39691503
22.80000000 302.28733114
23.10000000 302.19042621
23.40000000 302.11248144
23.70000000 302.05604320
24.00000000 302.01937787
24.30000000 301.99673630
24.60000000 301.97935953
24.90000000 301.95702949
25.20000000 301.91986703
25.50000000 301.86004001
25.80000000 301.77304262
26.10000000 301.65830050
26.40000000 301.51901573
26.70000000 301.36137558
27.00000000 301.19344237
27.30000000 301.02399700
27.60000000 300.86145239
27.90000000 300.71295745
28.20000000 300.58366659
28.50000000 300.47611439
28.80000000 300.38974279
29.10000000 300.32080286
29.40000000 300.26283839
29.70000000 300.20773660
30.00000000 300.14723940
30.30000000 300.07458862
30.60000000 299.98590221
30.90000000 299.88100934
31.20000000 299.76360830
31.50000000 299.64069497
31.80000000 299.52130947
32.10000000 299.41485638
32.40000000 299.32934076
32.70000000 299.26989554
33.00000000 299.23791361
33.30000000 299.23091148
33.60000000 299.24308979
33.90000000 299.26642057
34.20000000 299.29206725
34.50000000 299.31182351
34.80000000 299.31929849
35.10000000 299.31067525
35.40000000 299.28490639
35.70000000 299.24335885
36.00000000 299.18914268
36.30000000 299.12641770
36.60000000 299.05986193
36.90000000 298.99429130
37.20000000 298.93425645
37.50000000 298.88351408
37.80000000 298.84437193
38.10000000 298.81708952
38.40000000 298.79967744
38.70000000 298.78824200
39.00000000 298.77780676
39.30000000 298.76337661
39.60000000 298.74092075
39.90000000 298.70809229
40.20000000 298.66461398
40.50000000 298.61230690
40.80000000 298.55475966
41.10000000 298.49672721
41.40000000 298.44333945
41.70000000 298.39924683
42.00000000 298.36790707
42.30000000 298.35115858
42.60000000 298.34910571
