# Energy(eV)  Abs(norm)
0.00000000 0.00000000
0.00344812 0.02305425
0.00689623 0.08470495
0.01034435 0.16594849
0.01379246 0.24557337
0.01724058 0.30898670
0.02068869 0.33717618
0.02413681 0.31238096
0.02758492 0.34185921
0.03103304 0.31028324
0.03448116 0.28825468
0.03792927 0.29305431
0.04137739 0.29925496
0.04482550 0.30093431
0.04827362 0.29119030
0.05172173 0.28436989
0.05516985 0.26515425
0.05861796 0.24532802
0.06206608 0.22208409
0.06551420 0.19839632
0.06896231 0.17147165
0.07241043 0.15595666
0.07585854 0.13452829
0.07930666 0.11639988
0.08275477 0.09836425
0.08620289 0.08689280
0.08965100 0.06859863
0.09309912 0.06124466
0.09654724 0.04888529
0.09999535 0.04751601
0.10344347 0.03961049
0.10689158 0.04100826
0.11033970 0.03614562
0.11378781 0.03861772
0.11723593 0.03439744
0.12068404 0.03674697
0.12413216 0.03381875
0.12758028 0.03639919
0.13102839 0.03387461
0.13447651 0.03731511
0.13792462 0.03421989
0.14137274 0.03733166
0.14482085 0.03486287
0.14826897 0.03832152
0.15171709 0.03607206
0.15516520 0.04025850
0.15861332 0.04064444
0.16206143 0.05194962
0.16550955 0.07178622
0.16895766 0.10994260
0.17240578 0.15892787
0.17585389 0.24400434
0.17930201 0.33162670
0.18275013 0.42465835
0.18619824 0.48693078
0.18964636 0.52339978
0.19309447 0.50783070
0.19654259 0.45903294
0.19999070 0.36946248
0.20343882 0.27253713
0.20688693 0.17475811
0.21033505 0.10696998
0.21378317 0.06240290
0.21723128 0.03475152
0.22067940 0.01672784
0.22412751 0.02268902
0.22757563 0.01732633
0.23102374 0.02171266
0.23447186 0.01675357
0.23791997 0.02089503
0.24136809 0.01566257
0.24481621 0.01951775
0.24826432 0.01486484
0.25171244 0.01851055
0.25516055 0.01363643
0.25860867 0.01694175
0.26205678 0.01271867
0.26550490 0.01548507
0.26895301 0.01211746
0.27240113 0.01448182
0.27584925 0.01200267
0.27929736 0.01475872
0.28274548 0.01219558
0.28619359 0.01532066
0.28964171 0.01297881
0.29308982 0.01634839
0.29653794 0.01393117
0.29998605 0.01749257
0.30343417 0.01533335
0.30688229 0.01865853
0.31033040 0.01650819
0.31377852 0.01990105
0.31722663 0.01737039
0.32067475 0.02065981
0.32412286 0.01794660
0.32757098 0.02138119
0.33101909 0.01871890
0.33446721 0.02278322
0.33791533 0.02079384
0.34136344 0.02577418
0.34481156 0.02537300
0.34825967 0.03188515
0.35170779 0.03271568
0.35515590 0.04031654
0.35860402 0.04349678
0.36205213 0.05223382
0.36550025 0.05529995
0.36894837 0.06552527
0.37239648 0.06957436
0.37584460 0.07964059
0.37929271 0.08341748
0.38274083 0.09666627
0.38618894 0.10365549
0.38963706 0.12788206
0.39308517 0.15411101
0.39653329 0.20279628
0.39998141 0.25543084
0.40342952 0.32883653
0.40687764 0.39844838
0.41032575 0.45900330
0.41377387 0.49177748
0.41722198 0.50158253
0.42067010 0.47565484
0.42411821 0.43436760
0.42756633 0.38498313
0.43101445 0.34771428
0.43446256 0.32036832
0.43791068 0.33005409
0.44135879 0.34717259
0.44480691 0.38935074
0.44825502 0.43270762
0.45170314 0.49514408
0.45515126 0.55773341
0.45859937 0.64251505
0.46204749 0.74435245
0.46549560 0.85330241
0.46894372 0.93754018
0.47239183 0.99602796
0.47583995 1.00000000
0.47928806 0.94870586
0.48273618 0.83617612
0.48618430 0.69139151
0.48963241 0.51814948
0.49308053 0.36611319
0.49652864 0.23532499
0.49997676 0.14124390
0.50342487 0.06763235
0.50687299 0.03099713
0.51032110 0.00834941
0.51376922 -0.00105109
0.51721734 -0.01278941
0.52066545 -0.01053065
0.52411357 -0.01790094
0.52756168 -0.01368511
0.53100980 -0.01982056
0.53445791 -0.01485194
0.53790603 -0.02036412
0.54135414 -0.01538953
0.54480226 -0.02047674
0.54825038 -0.01582311
0.55169849 -0.02103551
0.55514661 -0.01620443
0.55859472 -0.02162226
0.56204284 -0.01674906
0.56549095 -0.02212455
0.56893907 -0.01668125
0.57238718 -0.02187009
0.57583530 -0.01592547
0.57928342 -0.02093079
0.58273153 -0.01476039
0.58617965 -0.01955309
0.58962776 -0.01341617
0.59307588 -0.01820465
0.59652399 -0.01224250
0.59997211 -0.01681025
0.60342022 -0.01123842
0.60686834 -0.01600247
0.61031646 -0.01060983
0.61376457 -0.01571350
0.61721269 -0.01035896
0.62066080 -0.01563995
0.62410892 -0.01019151
0.62755703 -0.01555453
0.63100515 -0.00987283
0.63445326 -0.01531354
0.63790138 -0.00945981
0.64134950 -0.01508350
0.64479761 -0.00920348
0.64824573 -0.01473359
0.65169384 -0.00919956
0.65514196 -0.01442490
0.65859007 -0.00891896
0.66203819 -0.01403491
0.66548630 -0.00859214
0.66893442 -0.01368989
0.67238254 -0.00827560
0.67583065 -0.01356404
0.67927877 -0.00816118
0.68272688 -0.01357694
0.68617500 -0.00814557
0.68962311 -0.01350066
0.69307123 -0.00793316
0.69651934 -0.01323045
0.69996746 -0.00768294
0.70341558 -0.01291627
0.70686369 -0.00743841
0.71031181 -0.01263097
0.71375992 -0.00727546
0.71720804 -0.01240429
0.72065615 -0.00708114
0.72410427 -0.01223007
0.72755238 -0.00688826
0.73100050 -0.01209188
0.73444862 -0.00673621
0.73789673 -0.01195982
0.74134485 -0.00657684
0.74479296 -0.01175612
0.74824108 -0.00635164
0.75168919 -0.01149877
0.75513731 -0.00605263
0.75858543 -0.01121687
0.76203354 -0.00580143
0.76548166 -0.01101225
0.76892977 -0.00559668
0.77237789 -0.01084243
0.77582600 -0.00539057
0.77927412 -0.01065586
0.78272223 -0.00512927
0.78617035 -0.01041275
0.78961847 -0.00482753
0.79306658 -0.01009965
0.79651470 -0.00457034
0.79996281 -0.00981763
0.80341093 -0.00429447
0.80685904 -0.00957100
0.81030716 -0.00406780
0.81375527 -0.00936806
0.81720339 -0.00389325
0.82065151 -0.00922507
0.82409962 -0.00380151
0.82754774 -0.00916899
0.83099585 -0.00363967
0.83444397 -0.00898683
0.83789208 -0.00340038
0.84134020 -0.00843231
0.84478831 -0.00280567
0.84823643 -0.00759982
0.85168455 -0.00202161
0.85513266 -0.00691570
0.85858078 -0.00157173
0.86202889 -0.00672589
0.86547701 -0.00155665
0.86892512 -0.00710726
0.87237324 -0.00190561
0.87582135 -0.00729809
0.87926947 -0.00181520
0.88271759 -0.00704917
0.88616570 -0.00129934
0.88961382 -0.00623484
0.89306193 -0.00077711
0.89651005 -0.00574863
0.89995816 -0.00071837
0.90340628 -0.00612605
0.90685439 -0.00139805
0.91030251 -0.00695871
0.91375063 -0.00214968
0.91719874 -0.00770751
0.92064686 -0.00252217
0.92409497 -0.00776914
0.92754309 -0.00238517
0.93099120 -0.00754868
0.93443932 -0.00217447
0.93788743 -0.00745940
0.94133555 -0.00229305
0.94478367 -0.00761825
0.94823178 -0.00260993
0.95167990 -0.00802361
0.95512801 -0.00299482
0.95857613 -0.00837487
0.96202424 -0.00327458
0.96547236 -0.00860665
0.96892047 -0.00352299
0.97236859 -0.00872608
0.97581671 -0.00364978
0.97926482 -0.00879560
0.98271294 -0.00372929
0.98616105 -0.00875207
0.98960917 -0.00369483
0.99305728 -0.00866902
0.99650540 -0.00358586
0.99995351 -0.00852832
1.00340163 -0.00347616
1.00684975 -0.00841664
1.01029786 -0.00339940
1.01374598 -0.00833962
1.01719409 -0.00334235
1.02064221 -0.00827981
1.02409032 -0.00330084
1.02753844 -0.00824802
1.03098656 -0.00330342
1.03443467 -0.00825000
1.03788279 -0.00337004
1.04133090 -0.00828784
1.04477902 -0.00342460
1.04822713 -0.00834230
1.05167525 -0.00346193
1.05512336 -0.00835234
1.05857148 -0.00347233
1.06201960 -0.00832628
1.06546771 -0.00344416
1.06891583 -0.00824864
1.07236394 -0.00337379
1.07581206 -0.00815305
1.07926017 -0.00328317
1.08270829 -0.00804187
1.08615640 -0.00320269
1.08960452 -0.00794811
1.09305264 -0.00312753
1.09650075 -0.00787584
1.09994887 -0.00304475
1.10339698 -0.00780170
1.10684510 -0.00299022
1.11029321 -0.00773459
1.11374133 -0.00294765
1.11718944 -0.00768871
1.12063756 -0.00292834
1.12408568 -0.00767009
1.12753379 -0.00292245
1.13098191 -0.00765913
1.13443002 -0.00291665
1.13787814 -0.00764629
1.14132625 -0.00290039
1.14477437 -0.00761731
1.14822248 -0.00286877
1.15167060 -0.00758116
1.15511872 -0.00284090
1.15856683 -0.00754563
1.16201495 -0.00281838
1.16546306 -0.00751533
1.16891118 -0.00279552
1.17235929 -0.00748858
1.17580741 -0.00277034
1.17925552 -0.00745646
1.18270364 -0.00274664
1.18615176 -0.00742428
1.18959987 -0.00271701
1.19304799 -0.00738968
1.19649610 -0.00268670
1.19994422 -0.00735142
1.20339233 -0.00265881
1.20684045 -0.00731845
1.21028856 -0.00263886
1.21373668 -0.00730182
1.21718480 -0.00262332
1.22063291 -0.00729028
1.22408103 -0.00261096
1.22752914 -0.00726648
1.23097726 -0.00259100
1.23442537 -0.00722950
1.23787349 -0.00256038
1.24132160 -0.00719289
1.24476972 -0.00253151
1.24821784 -0.00716495
1.25166595 -0.00251399
1.25511407 -0.00714075
1.25856218 -0.00249936
1.26201030 -0.00711483
1.26545841 -0.00248164
1.26890653 -0.00708386
1.27235464 -0.00246815
1.27580276 -0.00706386
1.27925088 -0.00245647
1.28269899 -0.00706460
1.28614711 -0.00245097
1.28959522 -0.00704390
1.29304334 -0.00242469
1.29649145 -0.00698891
1.29993957 -0.00235689
1.30338768 -0.00690236
1.30683580 -0.00227647
1.31028392 -0.00681761
1.31373203 -0.00223034
1.31718015 -0.00677240
1.32062826 -0.00225604
1.32407638 -0.00679568
1.32752449 -0.00229326
1.33097261 -0.00685817
1.33442073 -0.00232886
1.33786884 -0.00689825
1.34131696 -0.00233329
1.34476507 -0.00688495
1.34821319 -0.00229842
1.35166130 -0.00684018
1.35510942 -0.00225274
1.35855753 -0.00677783
1.36200565 -0.00219253
1.36545377 -0.00672599
1.36890188 -0.00216666
1.37235000 -0.00669894
1.37579811 -0.00215033
1.37924623 -0.00670668
1.38269434 -0.00215213
1.38614246 -0.00672705
1.38959057 -0.00214952
1.39303869 -0.00672573
1.39648681 -0.00213118
1.39993492 -0.00670735
1.40338304 -0.00211289
1.40683115 -0.00668428
1.41027927 -0.00209749
1.41372738 -0.00668668
1.41717550 -0.00210030
1.42062361 -0.00669559
1.42407173 -0.00210351
1.42751985 -0.00669516
1.43096796 -0.00208826
1.43441608 -0.00668172
1.43786419 -0.00206510
1.44131231 -0.00665745
1.44476042 -0.00205099
1.44820854 -0.00663916
1.45165665 -0.00204384
1.45510477 -0.00662749
1.45855289 -0.00203468
1.46200100 -0.00661498
1.46544912 -0.00202286
1.46889723 -0.00659705
1.47234535 -0.00200702
1.47579346 -0.00657939
1.47924158 -0.00199061
1.48268969 -0.00656188
1.48613781 -0.00197680
1.48958593 -0.00654825
1.49303404 -0.00196391
1.49648216 -0.00653584
1.49993027 -0.00195138
1.50337839 -0.00652272
1.50682650 -0.00193792
1.51027462 -0.00650841
1.51372273 -0.00192584
1.51717085 -0.00649344
1.52061897 -0.00191318
1.52406708 -0.00648064
1.52751520 -0.00190053
1.53096331 -0.00646873
1.53441143 -0.00188864
1.53785954 -0.00645714
1.54130766 -0.00187791
1.54475577 -0.00644507
1.54820389 -0.00186670
1.55165201 -0.00643425
1.55510012 -0.00185709
1.55854824 -0.00642445
1.56199635 -0.00184894
1.56544447 -0.00641651
1.56889258 -0.00184321
1.57234070 -0.00640910
