# Energy(eV)  Abs(norm)
0.00000000 0.00000000
0.00229836 0.01931841
0.00459672 0.07098609
0.00689508 0.14017868
0.00919344 0.20684000
0.01149180 0.25899341
0.01379016 0.28675130
0.01608852 0.26041755
0.01838688 0.28927003
0.02068524 0.25316408
0.02298360 0.25124198
0.02528197 0.26345745
0.02758033 0.27256768
0.02987869 0.29928823
0.03217705 0.31204684
0.03447541 0.32943699
0.03677377 0.33821803
0.03907213 0.34540032
0.04137049 0.34052098
0.04366885 0.33984543
0.04596721 0.32532802
0.04826557 0.31687908
0.05056393 0.30568154
0.05286229 0.29423373
0.05516065 0.28772457
0.05745901 0.27998590
0.05975737 0.27279436
0.06205573 0.26071543
0.06435409 0.24519756
0.06665245 0.23381260
0.06895081 0.21241585
0.07124917 0.19643469
0.07354753 0.17849960
0.07584590 0.16056500
0.07814426 0.14632170
0.08044262 0.12708642
0.08274098 0.11425885
0.08503934 0.09615094
0.08733770 0.08631492
0.08963606 0.07312033
0.09193442 0.06724228
0.09423278 0.05837297
0.09653114 0.05732027
0.09882950 0.05329323
0.10112786 0.05157852
0.10342622 0.04951481
0.10572458 0.04866032
0.10802294 0.04682259
0.11032130 0.04562733
0.11261966 0.04465472
0.11491802 0.04404541
0.11721638 0.04240336
0.11951474 0.04241084
0.12181310 0.04091817
0.12411146 0.04088553
0.12640983 0.03893722
0.12870819 0.04030993
0.13100655 0.03776995
0.13330491 0.03907025
0.13560327 0.03726954
0.13790163 0.03833171
0.14019999 0.03754300
0.14249835 0.03866808
0.14479671 0.03901566
0.14709507 0.04075666
0.14939343 0.04130760
0.15169179 0.04320090
0.15399015 0.04309671
0.15628851 0.04449995
0.15858687 0.04401087
0.16088523 0.04539034
0.16318359 0.04548648
0.16548195 0.04903983
0.16778031 0.05172171
0.17007867 0.06772913
0.17237703 0.08768132
0.17467540 0.14090906
0.17697376 0.21199771
0.17927212 0.31280199
0.18157048 0.44464094
0.18386884 0.58307943
0.18616720 0.70300595
0.18846556 0.78094844
0.19076392 0.79818722
0.19306228 0.75301176
0.19536064 0.64889717
0.19765900 0.51082195
0.19995736 0.35878938
0.20225572 0.22989138
0.20455408 0.12550339
0.20685244 0.07430188
0.20915080 0.03246028
0.21144916 0.01746109
0.21374752 0.01688843
0.21604588 0.01817908
0.21834424 0.01649470
0.22064260 0.01941255
0.22294096 0.01643933
0.22523933 0.02010947
0.22753769 0.01653675
0.22983605 0.02060735
0.23213441 0.01632908
0.23443277 0.01977242
0.23673113 0.01444107
0.23902949 0.01801232
0.24132785 0.01252053
0.24362621 0.01634180
0.24592457 0.01025678
0.24822293 0.01506383
0.25052129 0.00860160
0.25281965 0.01415885
0.25511801 0.00716052
0.25741637 0.01291801
0.25971473 0.00597758
0.26201309 0.01203168
0.26431145 0.00486244
0.26660981 0.01144531
0.26890817 0.00453669
0.27120653 0.01163311
0.27350489 0.00475595
0.27580326 0.01215438
0.27810162 0.00528837
0.28039998 0.01285206
0.28269834 0.00587307
0.28499670 0.01342114
0.28729506 0.00634436
0.28959342 0.01402473
0.29189178 0.00687869
0.29419014 0.01476686
0.29648850 0.00726596
0.29878686 0.01554762
0.30108522 0.00757701
0.30338358 0.01606783
0.30568194 0.00782007
0.30798030 0.01646360
0.31027866 0.00797112
0.31257702 0.01681415
0.31487538 0.00825873
0.31717374 0.01740062
0.31947210 0.00878581
0.32177046 0.01834982
0.32406882 0.00952107
0.32636719 0.01931053
0.32866555 0.01043940
0.33096391 0.02048824
0.33326227 0.01138396
0.33556063 0.02186043
0.33785899 0.01294402
0.34015735 0.02388476
0.34245571 0.01493831
0.34475407 0.02641540
0.34705243 0.01747209
0.34935079 0.02942141
0.35164915 0.02008853
0.35394751 0.03312743
0.35624587 0.02354679
0.35854423 0.03796361
0.36084259 0.02910956
0.36314095 0.04435190
0.36543931 0.03683362
0.36773767 0.05392344
0.37003603 0.04745303
0.37233439 0.06599116
0.37463276 0.06051837
0.37693112 0.08016312
0.37922948 0.07376392
0.38152784 0.09232299
0.38382620 0.08447085
0.38612456 0.10101727
0.38842292 0.09080292
0.39072128 0.11048216
0.39301964 0.10068234
0.39531800 0.12538060
0.39761636 0.12142467
0.39991472 0.15328475
0.40221308 0.15564970
0.40451144 0.19575492
0.40680980 0.20352954
0.40910816 0.25597668
0.41140652 0.27527325
0.41370488 0.34161976
0.41600324 0.38672975
0.41830160 0.47673901
0.42059996 0.54984652
0.42289832 0.66398158
0.42519669 0.74512808
0.42749505 0.86012698
0.42979341 0.92125204
0.43209177 0.98896997
0.43439013 0.98609019
0.43668849 0.98279580
0.43898685 0.90622817
0.44128521 0.84286002
0.44358357 0.73017436
0.44588193 0.65189508
0.44818029 0.55878431
0.45047865 0.52042943
0.45277701 0.48297955
0.45507537 0.50770431
0.45737373 0.52993315
0.45967209 0.60594990
0.46197045 0.67762300
0.46426881 0.77841109
0.46656717 0.86563280
0.46886553 0.95321392
0.47116389 0.98942297
0.47346225 1.00000000
0.47576062 0.94744437
0.47805898 0.85624280
0.48035734 0.71831866
0.48265570 0.57213191
0.48495406 0.41247933
0.48725242 0.28933175
0.48955078 0.17647474
0.49184914 0.10776736
0.49414750 0.05766097
0.49644586 0.03193859
